status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
1.24876E+18,2332176984,2020-04-11T00:01:12Z,Dattamupade,"FICCI-UPSC organized a webinar on Challenges &amp; Opportunities for UP Industries during &amp; post #COVID19 with Mr Alok Kumar, Principal Secy, Industries, @UPGovt. Also present were FICCI-UPSC Chair Mr Sharad Jaipuria, Mr Madhusudan Gopalan (P&amp;G SA) &amp; Mr Mohit Anand (@kelloggsindia).",Twitter for Android,,,,FALSE,FALSE,180,0,IN,"Pune, India",city,58,283,,2014-02-07T17:30:21Z,FALSE,en
1.24877E+18,1.23816E+18,2020-04-11T00:18:08Z,xcom3333,"@PMOIndia
@narendramodi
@ysjagan
@GVMC_OFFICIAL @APPOLICE100 

Dear sir, in Visakhapatnam people are not following #lockdown moreover police also not taking any action on those who are coming out in lockdown without any reasons.

This will spread deadly #covid19 

Kindly Check.!",Twitter for Android,,471741741,PMOIndia,FALSE,FALSE,564,0,IN,"Vishakhapatnam, India",city,4,28,,2020-03-12T17:38:53Z,FALSE,en
1.24877E+18,7.57075E+17,2020-04-11T00:19:21Z,swachhhyd,"CO2 emissions could fall by 5% in 2020. 
#coronavirus #climate https://t.co/MZtLj6vLwL",Twitter for Android,,,,FALSE,FALSE,123125,2,IN,"Hyderabad, India",city,9938,67,,2016-07-24T04:48:02Z,FALSE,en
1.24877E+18,1362617293,2020-04-11T00:20:32Z,mahfooz_16,"Please co-operate the district administration and keep urself to sanitize.
#StayHomeStaySafe https://t.co/9gsjwiVHBQ",Twitter for Android,,,,TRUE,FALSE,936,1,IN,"Tanda, India",city,134,586,,2013-04-18T18:28:55Z,FALSE,en
1.24877E+18,76961220,2020-04-11T00:22:41Z,souravipaul,#COVID19 pandemic is causing more than 1.6 billion children be out of school in 161 countries and their disastrous impacts to be resulted in. This is close to 80% of the world’s enrolled students. https://t.co/eig2UiPEDw via @WBG_Education,Twitter for iPhone,,,,FALSE,FALSE,822,0,IN,"New Delhi, India",city,610,619,,2009-09-24T15:10:16Z,FALSE,en
1.24877E+18,572371318,2020-04-11T00:24:56Z,SharpShooter993,"Now this guy isn't kidding around, he means business &amp; that really is the way we should treat this #coronavirus .
Humanity cant afford to be lenient about this pandemic. 
#SocialDistancingNow 
#StayHomeSaveLives 
#CoronavirusOutbreak 
#Philippines https://t.co/tu4vCO7eKd",Twitter for Android,,,,FALSE,FALSE,2427,0,IN,"Navi Mumbai, India",city,3727,3630,,2012-05-06T06:32:00Z,FALSE,en
1.24877E+18,709804458,2020-04-11T00:26:23Z,AzamShadab,"Human virus is more deadlier than corona virus. To protect yourself from this virus, just stay away from TV.That's it.There is no need of wearing mask or maintaining social distance. Just stop watching news on TV📺. #HumanVirus #COVID19 #Lockdownextention #thoosudhirchaudharythoo",Twitter for Android,,,,FALSE,FALSE,2857,0,IN,Jasola Vihar / Shaheen Bagh Metro Station,poi,91,1217,,2012-07-22T00:25:18Z,FALSE,en
1.24877E+18,572371318,2020-04-11T00:29:33Z,SharpShooter993,"This is exactly the first meal I wanna eat after the #lockdown 
#CoronavirusOutbreak #coronavirusinindia #CoronaInMaharashtra #food #missingfood #lotsandlotsoffood https://t.co/2Qcm0MfVNh",Twitter for Android,,,,FALSE,FALSE,2427,0,IN,"Navi Mumbai, India",city,3730,3628,,2012-05-06T06:32:00Z,FALSE,en
1.24877E+18,85821476,2020-04-11T00:41:05Z,omufacts,"Go Corona Go
Need to be Charged with.....

Test Corona Test

Lowest Test Ratio 
Shame Shame
#Covid_19 
#CoronavirusPandemic",Twitter for Android,,,,FALSE,FALSE,53,1,IN,"Chandigarh, India",city,26,78,,2009-10-28T13:50:39Z,FALSE,en
1.24877E+18,1.03742E+18,2020-04-11T00:43:46Z,VaruMohit,"Due to #COVID19 Everyone is acquiring new skill. So why not you #donate ₹20 for someone
else learning For every donation #GirlScript foundation will give #free #OnlineCourses to
student/teacher For 1month
Take this #DonateKaroNa challenge Donate below👇 https://t.co/pBSKGL4Tdc",Twitter for Android,,,,FALSE,FALSE,94,3,IN,"Nagpur, India",city,170,53,,2018-09-05T19:17:46Z,FALSE,en
1.24877E+18,23955770,2020-04-11T00:47:53Z,ParthaBarman,"Be safe as new banking frauds are on! #scam #fraud #lockdown #21daysLockdownIndia #banking
#CyberSecurity #BeSafe #coronoavirus #CoronaOutbreak #corona #Covid_19 #nCoV19 

https://t.co/jhOgQSyg87",Twitter for Android,,,,FALSE,FALSE,3134,2,IN,"Gurgaon, India",city,317,477,,2009-03-12T14:23:38Z,FALSE,en
1.24878E+18,73796916,2020-04-11T00:55:24Z,vinay4k,@TheMossadIL If the number will more we left counting #CoronavirusPandemic,Twitter for Android,1.24855E+18,7.74174E+17,TheMossadIL,FALSE,FALSE,1975,0,IN,"New Delhi, India",city,204,1669,,2009-09-13T02:54:45Z,FALSE,en
1.24878E+18,1.21079E+18,2020-04-11T00:57:15Z,geeta_skin,As time goes by the precautions and mandatory guildlines shall be overlooked #covid19 #caronavirus #indiafightscorona https://t.co/KIP4ZG8Tdr,Twitter for iPhone,,,,TRUE,FALSE,205,0,IN,"Ghaziabad, India",city,10,84,,2019-12-28T05:23:47Z,FALSE,en
1.24878E+18,70650111,2020-04-11T00:59:33Z,maheshrade,The people who are corrupted and carrying corona as they want only money in this critical condition.They are not taking proper safety and looking as opportunity to make money in this situation. It must be stopped.@PMOIndia @narendramodi @CMOMaharashtra #CoronaYoddha #coronavirus,Twitter for Android,,,,FALSE,FALSE,3,0,IN,"Maharashtra, India",admin,5,35,,2009-09-01T10:40:54Z,FALSE,en
1.24878E+18,1.18218E+18,2020-04-11T01:07:20Z,kothabutchikot2,"Please #StayHomeStaySafe #COVID2019 #COVID19Pandemic #CoronaVirusUpdate #CovidLockdown #AndhraFightsCorona #coronavirusinindia #Covid19India 
@narendramodi
@ysjagan
@AndhraPradeshCM
@VSReddy_MP
@BotchaBSN
@VjaCityPolice
@DevineniAvi
@gkd600
@ManviDad
@BradyDMO
@Ajay75683124 https://t.co/mDA1L6qYXZ",Twitter for Android,,,,FALSE,FALSE,3319,0,IN,"Vijayawada, India",city,637,3953,,2019-10-10T06:16:51Z,FALSE,en
1.24878E+18,61502443,2020-04-11T01:11:12Z,sscsoftweb,#COVID19: Will virtual classes change the way we learn?: https://t.co/9gwNVAZLyj,Twitter for Android,,,,FALSE,FALSE,340,0,IN,"Egmore Nungambakkam, India",city,348,1233,,2009-07-30T14:34:33Z,FALSE,en
