status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
1.25E+18,7.67E+17,2020-04-01T00:06:29Z,prabhatVKN,"Online training for 25,000 doctors to begin https://t.co/nXDWo6iuxy via @bangaloremirror #digital platform for #covid19 training",Twitter for iPad,,,,FALSE,FALSE,4959,0,IN,"Bengaluru, India",city,821,357,,2016-08-20T09:07:21Z,FALSE,en
1.25E+18,9.42E+17,2020-04-01T00:08:37Z,Amaresh03335514,"#Coronavirus: #WhiteHouse projects 100,000 to 240,000 deaths in the US"" #Coronavirus https://t.co/f9q7bU3pif 
#US #COVID19 cases surpassed 175000 with more than 3400 fatalities. @WHO 
@USATODAY @techreview 
@ABC @fox12oregon @KaushikDesai16 @AnitaSi67735735 
@UshaSin34487117",Twitter for Android,,,,FALSE,FALSE,13250,1,IN,"Varanasi, India",city,5613,4010,,2017-12-15T11:45:08Z,FALSE,en
1.25E+18,61502443,2020-04-01T00:28:30Z,sscsoftweb,"#Coronavirus | Three quasi-subspecies of virus in circulation in India, says ICMR: https://t.co/pI8he5dOKs",Twitter for Android,,,,FALSE,FALSE,339,0,IN,"Egmore Nungambakkam, India",city,341,1227,,2009-07-30T14:34:33Z,FALSE,en
1.25E+18,67290915,2020-04-01T00:29:37Z,chhuti_is,"My small contribution for the pandemic #covid19 to the #PMCaresFund .
Will urge all to contribute for the noble case and give a helping hand to our lovable PM #Narendra_Modi_ji  to fight with #Corona . https://t.co/euWbDz5cfC",Twitter for Android,,,,TRUE,FALSE,21400,3,IN,"Bidhan Nagar, India",city,8400,836,,2009-08-20T11:33:48Z,FALSE,en
1.25E+18,8.68E+17,2020-04-01T00:29:55Z,SabarUmesh,"Fourth #COVID19 positive case in Odisha 

29-year-old male from Bhadrak district with travel history to Dubai tests positive for #Coronavirus, informs #Odisha Health &amp; Family Welfare department",Twitter for Android,,,,FALSE,FALSE,268,0,IN,"Orissa, India",city,8,81,,2017-05-26T15:12:47Z,FALSE,en
1.25E+18,61502443,2020-04-01T00:33:45Z,sscsoftweb,IIT professors modify app to monitor people #COVID19 ,Twitter for Android,,,,FALSE,FALSE,339,0,IN,"Egmore Nungambakkam, India",city,342,1227,,2009-07-30T14:34:33Z,FALSE,en
1.25E+18,363791997,2020-04-01T00:39:20Z,hrushikesh_kit,From a doctor friend treating #COVID19 patients. ,Twitter for Android,,,,FALSE,FALSE,6,0,IN,"Brahmapur, India",city,0,213,,2011-08-28T18:04:26Z,FALSE,en
1.25E+18,336980047,2020-04-01T00:49:54Z,shashank_singh2,"#NizamuddinMarkaz
Till 31st March
Total Positive : 95
Total Evacuated : 1888
Symptomatic : 441 (In Hospital)
Asymptomatic : 1447 (Quarantine) 
Look Out for 190 who attended
#TableeghiJamaat
#MarkazCOVIDSpread #DelhiCoronaScareExplodes #StayAtHome #COVID #COVID??™19 #COVID19",Twitter for Android,,,,FALSE,FALSE,269,1,IN,"Noida, India",city,220,160,,2011-07-17T07:19:13Z,TRUE,en
1.25E+18,131807868,2020-04-01T00:57:04Z,khizzy147,"Panic mode. Is it here? 
@DeccanChronicle #coronavirus #StaySafe https://t.co/2tPnxmUzxJ",Twitter for iPhone,,,,FALSE,FALSE,498,0,IN,"Rajendra Nagar, India",city,437,285,,2010-04-11T11:38:14Z,FALSE,en
1.25E+18,105049085,2020-04-01T00:59:45Z,ravikathuria,Window is the best companion when you #StayatHome due to #covid_19 under #21daylockdown ... remembering #ViewFromMyWindow from @meliaalicante in #Alicante #Spain  ... prayers and wishes for #Spain ???è - hope it gets over soon ... 6thdayoflockdown 6thpic ... https://t.co/qO8ZFhgZSa https://t.co/lXJ1k0Uznh,Twitter for Android,,,,TRUE,FALSE,2548,1,IN,"Ghaziabad, India",city,524,554,,2010-01-15T05:42:34Z,FALSE,en
1.25E+18,166476598,2020-04-01T01:00:57Z,kashyap_kumar,"Hon.(@CMODelhi ,@ArvindKejriwal )
One of the doc has uploaded a videos that the PPE supplied to them at LNJP, MAMC are of low quality &amp; useless.
Your attention &amp; action are required.
#Doctor4covid #speak4doctor #COVID19 #COVID??™19 #COVID2019india @Drmanugautam @drmanishjain680 https://t.co/11RtjG7H4W",Twitter for iPhone,1.24E+18,138822469,OmarAbdullah,FALSE,FALSE,16081,0,IN,"New Delhi, India",city,1436,1843,,2010-07-14T07:06:49Z,FALSE,en
1.25E+18,9.79E+17,2020-04-01T01:07:42Z,UnitedRda,"@PrinSciAdvGoI @kvijayraghavan It appears that from 30th Jan,20 (WHO declared #Covid19 as epidemic) till March 15 , the Central Govt was in sleeping Mode. #Doctors working with #CGHS are yet not given even a N95 masks. What to expect from such vulnerable Govt. @PMOIndia #COVID",Twitter for Android,,,,FALSE,FALSE,935,11,IN,GTB Hospital,poi,1949,160,,2018-03-28T10:22:52Z,FALSE,en
1.25E+18,7.76E+17,2020-04-01T01:08:43Z,mohta_yash,"@cjwerleman Can you see #coronavirus ??? No na. But you believe there it is.
God is real real and real. https://t.co/js7RXYYZu6",Twitter for Android,,9.80E+17,PrinSciAdvGoI,FALSE,FALSE,229,0,IN,"Ahmadabad City, India",city,88,99,,2016-09-13T11:05:22Z,FALSE,en
1.25E+18,2827841420,2020-04-01T01:19:37Z,PZakyy,"One thing that #coronavirus exposed fully is the brutality of Police force and their insensitivity towards people.

Post #COVID19 world should upgrade police training from scratch 

https://t.co/R4yFRPZXhH",Twitter for Android,,33519870,cjwerleman,TRUE,FALSE,1722,0,IN,"Bharuch, India",city,117,454,,2014-09-23T10:44:15Z,FALSE,en
1.25E+18,233039234,2020-04-01T01:20:05Z,dnyadav,"On Monday, #China said there are at present 1,541 asymptomatic carriers of the #coronavirus in the country. Of that group, 205 people recently returned from overseas #Statistics #DamLies",Twitter for Android,,,,FALSE,FALSE,228305,1,IN,"Mumbai, India",city,6577,3358,,2011-01-02T03:17:39Z,FALSE,en
1.25E+18,14158133,2020-04-01T01:21:14Z,arvindmahajan,"Avoid any #COVID19 related #AprilFools messages

#IndiaFightsCornona #Aprilfoolsday2020",Twitter for iPhone,,,,FALSE,FALSE,3209,0,IN,"Pune, India",city,3659,2644,,2008-03-16T16:35:29Z,FALSE,en
1.25E+18,1.07E+18,2020-04-01T01:21:33Z,imHarish_D,#corona #virus #covid_19 #safety #wash #handmade #world #boys #girls #sunny #google #youtube #tiktok #facebook #love #picoftheday #photooftheday #instapic #instagram #inspiration @ W2S-Hub https://t.co/kezYAWA7xa,Twitter for Android,,,,FALSE,FALSE,32645,1,IN,"Rajasthan, India",city,1088,108,,2018-12-10T13:54:49Z,FALSE,en
1.25E+18,45796129,2020-04-01T01:21:55Z,sandeepmoun,"#CoronaVirusUpdates In India :
Total Number Of Cases : 1397
Active Cases : 1238
Recovered : 124
Death's : 35
#CoronavirusOutbreak #CoronavirusPandemic #CoronaStopKaroNa #coronavirus https://t.co/8tpoUvdEgX",Instagram,,,,FALSE,FALSE,98,0,IN,"karnal, India",city,51,410,,2009-06-09T08:35:34Z,FALSE,en
1.25E+18,1.24E+18,2020-04-01T01:23:25Z,Deb22dn,"Why this differential treatment? The virus doesnü??t care about class ,caste or religion. The govt &amp; authorities are acting so inhuman that they should in fact learn from it. #CoronavirusOutbreak is a great leveller. https://t.co/qoiAYz2oUQ",Twitter for Android,,,,FALSE,FALSE,1867,0,IN,"Silchar, India",city,187,454,,2020-03-05T09:14:43Z,FALSE,en
1.25E+18,9.02E+17,2020-04-01T01:28:08Z,ayan_borkotoky,"@LohiaPawan @smitadeshmukh @HDFC_Bank No use she's lost her brains in #coronavirus times are you following her ,if yes why there are better things to do Lohiaji this kind of people are #negative stop it ????",Twitter for iPhone,,,,TRUE,FALSE,2981,0,IN,"Sonari, India",city,56,391,,2017-08-28T07:59:13Z,FALSE,en
1.25E+18,87385342,2020-04-01T01:28:50Z,iiirdi,"#COVID19  effect , waiting for see new world alliance #Russia_India_US.
@narendramodi @POTUS @Plaid_Putin @KremlinRussia_E @PMOIndia .
@sardanarohit @aruneshkumara @sudhirchaudhary https://t.co/KnU7VOhp4V",Twitter for Android,1.25E+18,18757974,LohiaPawan,FALSE,FALSE,2624,0,IN,"Hyderabad, India",city,460,271,,2009-11-04T07:23:33Z,FALSE,en
1.25E+18,2230024818,2020-04-01T01:30:20Z,dhirajpd,"It really does seem wasteful to leave these aircraft inoperative any longer, after the depths of #Coronavirus the government should return @jetairways to service as a secondary national airline and add aircraft from the overcapacity at @airindiain #JetAirways @HardeepSPuri #9W https://t.co/0qU7UG5FCq",Twitter for Android,,,,TRUE,FALSE,836,0,IN,"New Delhi, India",city,49,646,,2013-12-04T14:40:34Z,FALSE,en
1.25E+18,9.73E+17,2020-04-01T01:33:18Z,himgiri1211,"Hope to start this month with a lot of energy and enthusiasm.

I would like to ""Thank"" all those who are standing up for the humanity against the pandemic #COVID19

May God bless all the people who are needy !",Twitter for Android,,,,TRUE,FALSE,82,0,IN,"Sanganer, India",city,60,141,,2018-03-10T18:46:06Z,FALSE,en
1.25E+18,1.20E+18,2020-04-01T01:34:56Z,jetairways2020,"Everyone is a #Fool 
untill The real Fool Step out from home.. 

#StayAtHome
#StaySafe
#coronavirus #CoronavirusOutbreak #coronavirusindia #coronavirusinindia #COVID??™19 #COVID19 #Covid19India #AprilFoolsDay #AprilFools #Aprilfoolsday2020 #Aprilfool
#justMyThought #LiketoWriteü?ç??è",Twitter for iPhone,,,,TRUE,FALSE,5442,0,IN,"Mumbai, India",city,568,1021,,2019-11-30T06:19:44Z,FALSE,en
1.25E+18,83824641,2020-04-01T01:35:37Z,radical1184,"Looks like someone missed the memo!

But great to experience this quality of air in Gurgaon in the past few days

#covid19 #flattenthecurve #stayhome 

#airveda @ Gurgaon The Cyber City https://t.co/FvIbhX4Uig",Twitter for Android,,,,FALSE,FALSE,15827,0,IN,"New Delhi, India",city,498,303,,2009-10-20T11:33:49Z,FALSE,en
1.25E+18,7.91E+17,2020-04-01T01:37:16Z,dev_dharani,#India has Global Leader.... Only @narendramodi has World Leaders who Take Action has Against #coronavirus https://t.co/VK5o8XTYAR,Twitter for Android,,,,FALSE,FALSE,638,1,IN,"Mumbai, India",city,43,103,,2016-10-25T10:57:09Z,FALSE,en
1.25E+18,188657186,2020-04-01T01:39:05Z,TheShroffster,@ndtv Americans were quick against 9/11 perpetrators... Mum against  #china for the #BioTerrorism #coronavirus #COVID19,Instagram,,,,FALSE,FALSE,2693,0,IN,"Gurgaon, India",city,4073,1002,,2010-09-09T07:50:22Z,FALSE,en
1.25E+18,1.11E+18,2020-04-01T01:39:05Z,MyEarth_MyDuty,"A very important point: when social distance is difficult to maintain, #masks might help prevent sneeze/cough droplet to carry #covid19 virus far to anthr  person, itü??s not fool proof till it is coated  with #invented compund by #jayant #Haldar @jncasr under test soon, @ccmb_csir https://t.co/uHksWpqMpF",Twitter for Android,,,,FALSE,FALSE,1145,2,IN,"Mumbai, India",city,99,1062,,2019-03-28T01:11:59Z,FALSE,en
1.25E+18,806590626,2020-04-01T01:44:37Z,rjagadishy,"COVID-19 Strategy of China's #corona #coronavirus #coronatime #itscoronatime #covid19 #LifebuoyKarona #tiktokindia #viral #jantacurfew #waitforit #mumbai #india #people #maharashtra #delhi #lucknow #sirsa @ Mumbai,ü?? https://t.co/sRtpICt8xA",Twitter for Android,1.25E+18,37034483,ndtv,FALSE,FALSE,6138,0,IN,"Port Blair, India",city,146,222,,2012-09-06T11:17:13Z,FALSE,en
1.25E+18,45914458,2020-04-01T01:44:56Z,anilgb,"@YogVedantSamiti Since every State is following the Guidelines of Supreme Court in releasing the old Prisoners during this #CoronaVirusPandemic Situation.Why innocent Sant Shri Asaram Bapu Ji still behind the bars ?
#CoronaRiskForPrisoners",Twitter for iPhone,,,,TRUE,FALSE,60705,0,IN,"Daskroi, India",city,10761,833,,2009-06-09T19:11:54Z,FALSE,en
1.25E+18,2780063414,2020-04-01T01:49:22Z,Gurpalsvirk,"In this period of crisis, We are with you.
Million's of @nsui workers are ready to help in different districts of the states,
If anyone is suffering due to lockdown around you, contact the following helpline numbers.
#LadengeAurJeetenge
#COVID19 https://t.co/oKu5oRGiuf",Instagram,,,,FALSE,FALSE,10,0,IN,"Mumbai, India",city,157,0,,2014-08-30T06:24:58Z,FALSE,en
1.25E+18,7.16E+17,2020-04-01T01:59:57Z,deepak_mragwani,"@SwamyChakrapani #Who_Is_RealGod 
@SaintRampalJiM  is one an only Sant who can save the whole world.
He can destroys Corona pandemic.
#COVID19 https://t.co/or0BQ81vpo",Twitter for Android,1.25E+18,1940485112,YogVedantSamiti,FALSE,FALSE,216522,5,IN,"Kishangarh, India",city,9641,5562,,2016-04-02T02:53:08Z,FALSE,en
1.25E+18,7.06E+17,2020-04-01T02:01:40Z,kunwar_Speaks,"@IAnnapurnna I agree, I see good in #CoronavirusOutbreak as well...
Environment is amazing...
Only essential folks are working... ???è",Twitter for Android,,,,FALSE,FALSE,3810,0,IN,"Madhya Pradesh, India",city,758,22,,2016-03-05T17:57:43Z,FALSE,en
