status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang,subjectivity,polarity,Analysis
1.25e+18,7.67e+17,2020-04-01 00:06:29+00:00,prabhatVKN,"Online training for 25,000 doctors to begin https://t.co/nXDWo6iuxy via @bangaloremirror #digital platform for #covid19 training",Twitter for iPad,,,,False,False,4959,0,IN,"Bengaluru, India",city,821,357,,2016-08-20 09:07:21+00:00,False,en,0.0,0.0,Sad
1.25e+18,9.42e+17,2020-04-01 00:08:37+00:00,Amaresh03335514,"#Coronavirus: #WhiteHouse projects 100,000 to 240,000 deaths in the US"" #Coronavirus https://t.co/f9q7bU3pif 
#US #COVID19 cases surpassed 175000 with more than 3400 fatalities. @WHO 
@USATODAY @techreview 
@ABC @fox12oregon @KaushikDesai16 @AnitaSi67735735 
@UshaSin34487117",Twitter for Android,,,,False,False,13250,1,IN,"Varanasi, India",city,5613,4010,,2017-12-15 11:45:08+00:00,False,en,0.5,0.5,Analytical
1.25e+18,61502443.0,2020-04-01 00:28:30+00:00,sscsoftweb,"#Coronavirus | Three quasi-subspecies of virus in circulation in India, says ICMR: https://t.co/pI8he5dOKs",Twitter for Android,,,,False,False,339,0,IN,"Egmore Nungambakkam, India",city,341,1227,,2009-07-30 14:34:33+00:00,False,en,0.0,0.0,Sad
1.25e+18,67290915.0,2020-04-01 00:29:37+00:00,chhuti_is,"My small contribution for the pandemic #covid19 to the #PMCaresFund .
Will urge all to contribute for the noble case and give a helping hand to our lovable PM #Narendra_Modi_ji  to fight with #Corona . https://t.co/euWbDz5cfC",Twitter for Android,,,,True,False,21400,3,IN,"Bidhan Nagar, India",city,8400,836,,2009-08-20 11:33:48+00:00,False,en,0.6,0.2833333333333333,Anger
1.25e+18,8.68e+17,2020-04-01 00:29:55+00:00,SabarUmesh,"Fourth #COVID19 positive case in Odisha 

29-year-old male from Bhadrak district with travel history to Dubai tests positive for #Coronavirus, informs #Odisha Health &amp; Family Welfare department",Twitter for Android,,,,False,False,268,0,IN,"Orissa, India",city,8,81,,2017-05-26 15:12:47+00:00,False,en,0.29772727272727273,0.11363636363636363,Anger
1.25e+18,61502443.0,2020-04-01 00:33:45+00:00,sscsoftweb,IIT professors modify app to monitor people #COVID19 ,Twitter for Android,,,,False,False,339,0,IN,"Egmore Nungambakkam, India",city,342,1227,,2009-07-30 14:34:33+00:00,False,en,0.0,0.0,Sad
1.25e+18,363791997.0,2020-04-01 00:39:20+00:00,hrushikesh_kit,From a doctor friend treating #COVID19 patients. ,Twitter for Android,,,,False,False,6,0,IN,"Brahmapur, India",city,0,213,,2011-08-28 18:04:26+00:00,False,en,0.0,0.0,Sad
1.25e+18,336980047.0,2020-04-01 00:49:54+00:00,shashank_singh2,"#NizamuddinMarkaz
Till 31st March
Total Positive : 95
Total Evacuated : 1888
Symptomatic : 441 (In Hospital)
Asymptomatic : 1447 (Quarantine) 
Look Out for 190 who attended
#TableeghiJamaat
#MarkazCOVIDSpread #DelhiCoronaScareExplodes #StayAtHome #COVID #COVID??ª19 #COVID19",Twitter for Android,,,,False,False,269,1,IN,"Noida, India",city,220,160,,2011-07-17 07:19:13+00:00,True,en,0.6818181818181818,0.07575757575757576,Anger
1.25e+18,131807868.0,2020-04-01 00:57:04+00:00,khizzy147,"Panic mode. Is it here? 
@DeccanChronicle #coronavirus #StaySafe https://t.co/2tPnxmUzxJ",Twitter for iPhone,,,,False,False,498,0,IN,"Rajendra Nagar, India",city,437,285,,2010-04-11 11:38:14+00:00,False,en,0.0,0.0,Sad
1.25e+18,105049085.0,2020-04-01 00:59:45+00:00,ravikathuria,Window is the best companion when you #StayatHome due to #covid_19 under #21daylockdown ... remembering #ViewFromMyWindow from @meliaalicante in #Alicante #Spain  ... prayers and wishes for #Spain ??? - hope it gets over soon ... 6thdayoflockdown 6thpic ... https://t.co/qO8ZFhgZSa https://t.co/lXJ1k0Uznh,Twitter for Android,,,,True,False,2548,1,IN,"Ghaziabad, India",city,524,554,,2010-01-15 05:42:34+00:00,False,en,0.3375,0.4375,Anger
